contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid,ask,bid_ask_spread,days_to_expire,optionType
AMZN280121C00220000,2026-03-04 18:23:30+00:00,220.0,49.24,91.0,3837,215.86,35.61,49.55,49.9,0.35,688.109,c
AMZN280121C00230000,2026-03-04 18:20:02+00:00,230.0,45.24,31.0,5746,215.68,35.63,45.5,45.95,0.45,688.111,c
AMZN280121C00240000,2026-03-04 16:45:51+00:00,240.0,41.45,13.0,1795,215.98,34.95,41.55,41.95,0.4,688.176,c
AMZN280121C00250000,2026-03-04 17:35:30+00:00,250.0,37.45,157.0,7077,214.825,35.44,38.05,38.3,0.25,688.142,c
AMZN280121C00260000,2026-03-04 18:35:01+00:00,260.0,35.0,45.0,1703,216.55,35.41,34.75,35.2,0.45,688.101,c
AMZN280121C00270000,2026-03-04 17:14:54+00:00,270.0,31.25,12.0,1219,214.945,34.86,31.8,32.2,0.4,688.156,c
AMZN280121C00280000,2026-03-04 17:41:19+00:00,280.0,28.72,47.0,3213,215.02,35.24,29.1,29.5,0.4,688.138,c
AMZN280121C00290000,2026-03-04 17:12:03+00:00,290.0,26.32,10.0,2374,215.28,34.88,26.8,27.2,0.4,688.158,c
AMZN280121C00300000,2026-03-04 18:35:01+00:00,300.0,24.7,267.0,4998,216.55,35.41,24.5,24.85,0.35,688.101,c
AMZN280121C00310000,2026-03-04 17:16:10+00:00,310.0,22.05,7.0,1049,215.15,34.83,22.55,22.95,0.4,688.155,c
AMZN280121C00320000,2026-03-04 18:26:42+00:00,320.0,20.7,17.0,2864,215.94,35.61,20.6,21.0,0.4,688.106,c
AMZN280121C00330000,2026-03-04 18:35:01+00:00,330.0,19.1,61.0,1795,216.55,35.41,18.85,19.1,0.25,688.101,c
AMZN280121C00340000,2026-03-04 17:58:07+00:00,340.0,17.25,57.0,4753,215.585,35.32,17.35,17.6,0.25,688.126,c
AMZN280121C00350000,2026-03-04 16:58:12+00:00,350.0,15.6,117.0,8583,215.22,34.86,15.95,16.35,0.4,688.168,c
AMZN280121C00360000,2026-03-03 15:47:57+00:00,360.0,12.05,2.0,5901,203.825,40.54,14.55,14.85,0.3,689.217,c
AMZN280121C00370000,2026-03-04 18:28:54+00:00,370.0,13.39,1067.0,12515,216.01,35.61,13.35,13.7,0.35,688.105,c
AMZN280121P00105000,2026-03-03 15:39:03+00:00,105.0,4.45,1.0,34,203.93,40.65,3.55,3.75,0.2,689.223,p
AMZN280121P00110000,2026-03-04 14:54:36+00:00,110.0,4.4,1.0,555,214.04,36.66,4.1,4.35,0.25,688.254,p
AMZN280121P00115000,2026-03-04 17:06:30+00:00,115.0,4.86,1.0,1270,215.61,34.78,4.75,5.0,0.25,688.162,p
AMZN280121P00120000,2026-03-04 17:06:30+00:00,120.0,5.57,1.0,694,215.61,34.78,5.5,5.75,0.25,688.162,p
AMZN280121P00125000,2026-03-04 18:01:07+00:00,125.0,6.4,4.0,414,215.59,35.37,6.2,6.5,0.3,688.124,p
AMZN280121P00130000,2026-03-03 18:28:32+00:00,130.0,8.25,6.0,588,207.59,38.25,7.1,7.4,0.3,689.105,p
AMZN280121P00135000,2026-03-03 18:38:31+00:00,135.0,9.25,3.0,570,208.41,37.6,8.0,8.3,0.3,689.098,p
AMZN280121P00140000,2026-03-04 16:48:26+00:00,140.0,9.17,130.0,2555,215.89,34.89,9.05,9.35,0.3,688.175,p
AMZN280121P00145000,2026-03-03 15:48:09+00:00,145.0,10.8,1.0,745,203.705,40.54,10.15,10.5,0.35,689.217,p
AMZN280121P00150000,2026-03-03 20:43:03+00:00,150.0,12.8,109.0,2717,208.63,37.73,11.35,11.7,0.35,689.012,p
AMZN280121P00155000,2026-03-03 14:42:35+00:00,155.0,15.62,2.0,1499,203.96,41.39,12.65,13.0,0.35,689.262,p
AMZN280121P00160000,2026-03-04 16:56:21+00:00,160.0,14.33,3.0,3030,215.28,34.79,14.05,14.4,0.35,688.169,p
AMZN280121P00165000,2026-03-04 18:24:36+00:00,165.0,15.85,338.0,2118,215.85,35.61,15.55,15.9,0.35,688.108,p
AMZN280121P00170000,2026-03-04 18:26:43+00:00,170.0,17.4,2.0,3849,215.94,35.61,17.2,17.55,0.35,688.106,p
AMZN280121P00175000,2026-03-04 17:01:42+00:00,175.0,19.2,15.0,1096,215.32,34.87,18.8,19.2,0.4,688.165,p
AMZN280121P00180000,2026-03-04 18:01:41+00:00,180.0,20.95,7.0,7117,215.59,35.37,20.6,21.05,0.45,688.124,p
AMZN280121P00185000,2026-03-04 15:09:26+00:00,185.0,23.22,1.0,1086,214.88,35.97,22.6,23.05,0.45,688.243,p
AMZN280121P00190000,2026-03-04 16:54:19+00:00,190.0,24.85,4.0,6529,215.58,34.77,24.6,25.05,0.45,688.171,p
